epoch,Train_loss,Test_loss,Train_IoU,Train_f1_score,Test_IoU,Test_f1_score
1,0.0918834266429551,0.08490078483317462,0.6786953430547862,0.9981208186670598,0.7844980642985695,0.9925373134328358
2,0.09648766722428888,0.07193275212693251,0.8019706932676613,0.99812734082397,0.8195161144971143,0.9925373134328358
3,0.06071526063751349,0.06218057132414011,0.8248508040098832,0.99812734082397,0.8312730130007013,0.9925373134328358
4,0.06769478267791941,0.08427436416485815,0.8356891821279623,0.99812734082397,0.8117435155235823,0.9925373134328358
5,0.05003160639445104,0.08359575118888926,0.8392212385304995,0.99812734082397,0.834097103900986,0.9925373134328358
6,0.05164634688693147,0.06488477374894203,0.8453667779989125,0.99812734082397,0.8227700732187782,0.9925373134328358
7,0.043494865028882335,0.08715234294610746,0.8484989152920697,0.99812734082397,0.841216053484052,0.9925373134328358
8,0.05074752140292688,0.054411507651282796,0.8444809928570255,0.99812734082397,0.8282347432366342,0.9925373134328358
9,0.04751845327719827,0.0647079964172118,0.8345779636708167,0.99812734082397,0.8478416336407448,0.9925373134328358
10,0.05001305124459982,0.05174650564414488,0.8520325323310645,0.99812734082397,0.8501246766248947,0.9925373134328358
11,0.045891122347669025,0.05148887236774056,0.8550817895497747,0.99812734082397,0.8533383815579493,0.9925373134328358
12,0.05582287928202717,0.13372116398252357,0.8522417300528032,0.99812734082397,0.490797334450315,0.9925373134328358
13,0.04189498433360426,0.04806499095562058,0.8519778154961962,0.99812734082397,0.8485116572922062,0.9925373134328358
14,0.056178679910223135,0.035356849615814506,0.8542164234135495,0.99812734082397,0.8553882540835757,0.9925373134328358
15,0.04471629429424798,0.04329679009146117,0.8592350757839818,0.99812734082397,0.8575843713165644,0.9925373134328358
16,0.05121053701765722,0.046833009895312847,0.8604023033007828,0.99812734082397,0.8550445703583938,0.9925373134328358
17,0.040411963603548595,0.03721699714370309,0.8608577777753392,0.99812734082397,0.8590383522446157,0.9925373134328358
18,0.05688200182423077,0.03565765970250895,0.8608554374032855,0.99812734082397,0.8581493997469377,0.9925373134328358
19,0.040160447228483706,0.03509520130917422,0.8596561795865738,0.99812734082397,0.8597391128627955,0.9925373134328358
20,0.029249097621922657,0.027835611443170878,0.8637410540276825,0.99812734082397,0.8559867495713026,0.9925373134328358
21,0.027944352235042234,0.042063629193955954,0.86474390274901,0.99812734082397,0.8615964939392343,0.9925373134328358
22,0.06746116821839672,0.09002976454594241,0.8590000298313847,0.99812734082397,0.7333588465595158,0.9925373134328358
23,0.04393665179762909,0.04634046858652354,0.854216195023879,0.99812734082397,0.8611200146910217,0.9925373134328358
24,0.037265930989489986,0.05222316671912465,0.8648744307823352,0.99812734082397,0.8635062790751847,0.9925373134328358
25,0.05469202098970751,0.03479451826852063,0.8665085492806569,0.99812734082397,0.8643658513334844,0.9925373134328358
26,0.02282114892725556,0.039855811127825894,0.867093527387743,0.99812734082397,0.8634275303721406,0.9925373134328358
27,0.04105017957570731,0.03621501870948494,0.8675544916654213,0.99812734082397,0.8641854971404519,0.9925373134328358
28,0.04614617317623518,0.05258201540481213,0.8676270026219559,0.99812734082397,0.8639394735089345,0.9925373134328358
29,0.028736649181614848,0.04038242869317835,0.866245130761087,0.99812734082397,0.8646065836666037,0.9925373134328358
30,0.04499147094079105,0.06722547746790679,0.8613407481742872,0.99812734082397,0.6975873294652697,0.9925373134328358
31,0.05092637537629754,0.03799504507785942,0.8617566099634028,0.99812734082397,0.8581603033106775,0.9925373134328358
32,0.02936245452731865,0.03433873676960667,0.8677794003263257,0.99812734082397,0.865655961750293,0.9925373134328358
33,0.03748350567777201,0.04379537839051684,0.8692360310062546,0.99812734082397,0.8661967205880352,0.9925373134328358
34,0.03904949120415829,0.028346382726459722,0.8696991041765835,0.99812734082397,0.8658399007221036,0.9925373134328358
35,0.03229211121415326,0.043246970826384075,0.8698327762879307,0.99812734082397,0.7289297500096817,0.9925373134328358
36,0.03484229162526087,0.03902798463724703,0.8700230130890549,0.99812734082397,0.8525096066272778,0.9925373134328358
37,0.04698641058431588,0.047266144789044486,0.8567119811626707,0.99812734082397,0.8621031345238102,0.9925373134328358
38,0.04651146848821619,0.02942004730284924,0.8690986818102894,0.99812734082397,0.866736960786577,0.9925373134328358
39,0.04390126598916488,0.040790578511032245,0.8706048419198589,0.99812734082397,0.8673073945195321,0.9925373134328358
40,0.029346596586481418,0.030296818802013414,0.871238210251819,0.99812734082397,0.8672657100491615,0.9925373134328358
41,0.03467311618198168,0.04025335885358081,0.8696752133058844,0.99812734082397,0.8668841821577093,0.9925373134328358
42,0.03282094185883799,0.04521408681271436,0.8713693215716138,0.99812734082397,0.8674869698461224,0.9925373134328358
43,0.027311094566155835,0.03223806599932028,0.871396489274741,0.99812734082397,0.8678397211071625,0.9925373134328358
44,0.025153630834643097,0.027935035780628885,0.871824414116722,0.99812734082397,0.8675327966345657,0.9925373134328358
45,0.03695639639780592,0.04362560463823835,0.8719916759407139,0.99812734082397,0.8672307497080839,0.9925373134328358
46,0.026819872937566616,0.03249600513423786,0.8721751193490349,0.99812734082397,0.8675053310685175,0.9925373134328358
47,0.03629502885303787,0.03006415434075145,0.8722531038204806,0.99812734082397,0.8676220980518371,0.9925373134328358
48,0.03709500807951244,0.036248041681139105,0.8725764873841919,0.99812734082397,0.8678745411706622,0.9925373134328358
49,0.04337862462519325,0.030837501735768366,0.8726761042742498,0.99812734082397,0.8679067285666369,0.9925373134328358
50,0.022660231820253215,0.03656938929031756,0.873028843735369,0.99812734082397,0.8685066378568387,0.9925373134328358
51,0.04485373165808068,0.037608078931950915,0.8733600633188362,0.99812734082397,0.8686267253142015,0.9925373134328358
